Date	Close	Volume
2020-01-02	160.619995117188	22622100
2020-01-03	158.619995117188	21116200
2020-01-06	159.029998779297	20813700
2020-01-07	157.580001831055	21634100
2020-01-08	160.089996337891	27746500
2020-01-09	162.089996337891	21385000
2020-01-10	161.339996337891	20725900
2020-01-13	163.279998779297	21626500
2020-01-14	162.130004882813	23477400
2020-01-15	163.179992675781	21417900
2020-01-16	166.169998168945	23865400
2020-01-17	167.100006103516	34371700
2020-01-21	166.5	29517200
2020-01-22	165.699996948242	24138800
2020-01-23	166.720001220703	19680800
2020-01-24	165.039993286133	24918100
2020-01-27	162.279998779297	32078100
2020-01-28	165.460006713867	24899900
2020-01-29	168.039993286133	34754500
2020-01-30	172.779998779297	51597500
2020-01-31	170.229995727539	36142700
2020-02-03	174.380004882813	30107000
2020-02-04	180.119995117188	36433300
2020-02-05	179.899993896484	39186300
2020-02-06	183.630004882813	27751400
2020-02-07	183.889999389648	33529100
2020-02-10	188.699996948242	35844300
2020-02-11	184.440002441406	53159900
2020-02-12	184.710006713867	47062900
2020-02-13	183.710006713867	35295800
2020-02-14	185.350006103516	23149500
2020-02-18	187.229995727539	27792200
2020-02-19	187.279998779297	29997500
2020-02-20	184.419998168945	36862400
2020-02-21	178.589996337891	48572600
2020-02-24	170.889999389648	68311100
2020-02-25	168.070007324219	68073300
2020-02-26	170.169998168945	56206100
2020-02-27	158.179992675781	93174900
2020-02-28	162.009994506836	97012700
2020-03-02	172.789993286133	71030800
2020-03-03	164.509994506836	71677000
2020-03-04	170.550003051758	49814400
2020-03-05	166.270004272461	47817300
2020-03-06	161.570007324219	72821100
2020-03-09	150.619995117188	70419300
2020-03-10	160.919998168945	65354400
2020-03-11	153.630004882813	56371600
2020-03-12	139.059997558594	93226400
2020-03-13	158.830001831055	92727400
2020-03-16	135.419998168945	87905900
2020-03-17	146.570007324219	81059800
2020-03-18	140.399993896484	81593200
2020-03-19	142.710006713867	85922700
2020-03-20	137.350006103516	84866200
2020-03-23	135.979995727539	78975200
2020-03-24	148.339996337891	82516700
2020-03-25	146.919998168945	75638200
2020-03-26	156.110000610352	64568100
2020-03-27	149.699996948242	57042300
2020-03-30	160.229995727539	63420300
2020-03-31	157.710006713867	77927200
2020-04-01	152.110000610352	57969900
2020-04-02	155.259994506836	49630700
2020-04-03	153.830001831055	41243300
2020-04-06	165.270004272461	67111700
2020-04-07	163.490005493164	62769000
2020-04-08	165.130004882813	48318200
2020-04-09	165.139999389648	51385100
2020-04-13	165.509994506836	41905300
2020-04-14	173.699996948242	52874300
2020-04-15	171.880004882813	40940800
2020-04-16	177.039993286133	50479600
2020-04-17	178.600006103516	52765600
2020-04-20	175.059997558594	36669600
2020-04-21	167.820007324219	56203700
2020-04-22	173.520004272461	34620200
2020-04-23	171.419998168945	32790800
2020-04-24	174.550003051758	34277600
2020-04-27	174.050003051758	33194400
2020-04-28	169.809997558594	34392700
2020-04-29	177.429992675781	51286600
2020-04-30	179.210006713867	53875900
2020-05-01	174.570007324219	39370500
2020-05-04	178.839996337891	30372900
2020-05-05	180.759994506836	36839200
2020-05-06	182.539993286133	32139300
2020-05-07	183.600006103516	28316000
2020-05-08	184.679992675781	30877800
2020-05-11	186.740005493164	30892700
2020-05-12	182.509994506836	32038200
2020-05-13	179.75	44711500
2020-05-14	180.529998779297	41873900
2020-05-15	183.160003662109	46610400
2020-05-18	184.910003662109	35264500
2020-05-19	183.630004882813	26799100
2020-05-20	185.660003662109	31261300
2020-05-21	183.429992675781	29119500
2020-05-22	183.509994506836	20826900
2020-05-26	181.570007324219	36073600
2020-05-27	181.809997558594	39517100
2020-05-28	181.399993896484	33810200
2020-05-29	183.25	42130400
2020-06-01	182.830001831055	22622400
2020-06-02	184.910003662109	30794600
2020-06-03	185.360000610352	27311000
2020-06-04	182.919998168945	28761800
2020-06-05	187.199996948242	39893600
2020-06-08	188.360000610352	33211600
2020-06-09	189.800003051758	29783900
2020-06-10	196.839996337891	43872300
2020-06-11	186.270004272461	52854700
2020-06-12	187.740005493164	43373600
2020-06-15	188.940002441406	32770200
2020-06-16	193.570007324219	42556700
2020-06-17	194.240005493164	25687800
2020-06-18	196.320007324219	23061600
2020-06-19	195.149993896484	44441100
2020-06-22	200.570007324219	32818900
2020-06-23	201.910003662109	30917400
2020-06-24	197.839996337891	36740600
2020-06-25	200.339996337891	27803900
2020-06-26	196.330001831055	54675800
2020-06-29	198.440002441406	26701600
2020-06-30	203.509994506836	34310300
2020-07-01	204.699996948242	32061200
2020-07-02	206.259994506836	29315800
2020-07-06	210.699996948242	31897600
2020-07-07	208.25	33600700
2020-07-08	212.830001831055	33600000
2020-07-09	214.320007324219	33121700
