Date,Adj_Close
2021-01-04,133.72
2021-01-05,134.57
2021-01-06,135.99
2021-01-07,134.72
2021-01-08,134.66
2021-01-11,133.75
2021-01-12,132.97
2021-01-13,133.17
2021-01-14,131.76
2021-01-15,130.77
2021-01-19,129.62
2021-01-20,128.0
2021-01-21,127.88
2021-01-22,126.89
2021-01-25,129.08
2021-01-26,129.91
2021-01-27,125.31
2021-01-28,127.24
2021-01-29,125.14
2021-02-01,125.88
2021-02-02,125.71
2021-02-03,125.87
2021-02-04,125.94
2021-02-05,126.47
2021-02-08,126.08
2021-02-09,125.59
2021-02-10,125.15
2021-02-11,125.26
2021-02-12,124.57
2021-02-16,124.86
2021-02-17,125.39
2021-02-18,126.43
2021-02-19,124.08
2021-02-22,123.55
2021-02-23,124.47
2021-02-24,124.61
2021-02-25,123.55
2021-02-26,120.57
2021-03-01,121.32
2021-03-02,120.94
2021-03-03,120.21
2021-03-04,119.23
2021-03-05,122.97
2021-03-08,124.26
2021-03-09,123.16
2021-03-10,124.29
2021-03-11,123.87
2021-03-12,125.07
2021-03-15,125.48
2021-03-16,125.86
2021-03-17,125.35
2021-03-18,125.62
2021-03-19,124.95
2021-03-22,127.07
2021-03-23,129.43
2021-03-24,129.39
2021-03-25,130.29
2021-03-26,132.21
2021-03-29,134.28
2021-03-30,132.21
2021-03-31,132.19
2021-04-01,131.07
2021-04-05,133.19
2021-04-06,133.23
2021-04-07,133.47
2021-04-08,133.98
2021-04-09,133.11
2021-04-12,133.64
2021-04-13,131.88
2021-04-14,132.36
2021-04-15,133.96
2021-04-16,133.97
2021-04-19,133.34
2021-04-20,134.45
2021-04-21,133.58
2021-04-22,132.25
2021-04-23,131.57
2021-04-26,128.94
2021-04-27,128.86
2021-04-28,129.08
2021-04-29,130.17
2021-04-30,131.06
2021-05-03,132.61
2021-05-04,132.16
2021-05-05,131.1
2021-05-06,132.75
2021-05-07,132.76
2021-05-10,135.24
2021-05-11,134.57
2021-05-12,133.14
2021-05-13,135.29
2021-05-14,135.57
2021-05-17,135.3
2021-05-18,133.91
2021-05-19,134.19
2021-05-20,135.56
2021-05-21,135.56
2021-05-24,135.52
2021-05-25,135.98
2021-05-26,135.68
2021-05-27,132.59
2021-05-28,132.47
2021-06-01,130.53
2021-06-02,131.1
2021-06-03,133.45
2021-06-04,133.55
2021-06-07,134.01
2021-06-08,132.46
2021-06-09,132.41
2021-06-10,133.39
2021-06-11,132.48
2021-06-14,132.53
2021-06-15,132.27
2021-06-16,130.43
2021-06-17,131.62
2021-06-18,129.7
2021-06-21,130.72
2021-06-22,130.77
2021-06-23,130.58
2021-06-24,130.67
2021-06-25,132.54
2021-06-28,132.93
2021-06-29,132.02
2021-06-30,132.54
2021-07-01,132.85
2021-07-02,133.5
2021-07-06,133.58
2021-07-07,134.58
2021-07-08,134.56
2021-07-09,134.61
2021-07-12,134.72
2021-07-13,134.55
2021-07-14,135.54
2021-07-15,136.7
2021-07-16,138.03
2021-07-19,137.96
2021-07-20,137.22
2021-07-21,136.74
2021-07-22,136.22
2021-07-23,138.18
2021-07-26,138.67
2021-07-27,139.23
2021-07-28,137.16
2021-07-29,137.88
2021-07-30,140.59
2021-08-02,140.25
2021-08-03,142.29
2021-08-04,140.79
2021-08-05,140.86
2021-08-06,139.78
2021-08-09,140.55
2021-08-10,140.63
2021-08-11,140.98
2021-08-12,141.31
2021-08-13,141.99
2021-08-16,142.98
2021-08-17,143.21
2021-08-18,141.65
2021-08-19,143.32
2021-08-20,143.42
2021-08-23,142.69
2021-08-24,141.53
2021-08-25,141.03
2021-08-26,140.78
2021-08-27,140.67
2021-08-30,141.29
2021-08-31,140.75
2021-09-01,142.19
2021-09-02,142.29
2021-09-03,142.39
2021-09-07,141.86
2021-09-08,142.94
2021-09-09,142.33
2021-09-10,142.47
2021-09-13,144.0
2021-09-14,143.76
2021-09-15,143.45
2021-09-16,142.45
2021-09-17,142.68
2021-09-20,141.25
2021-09-21,141.46
2021-09-22,141.95
2021-09-23,142.53
2021-09-24,141.9
2021-09-27,140.03
2021-09-28,138.97
2021-09-29,140.39
2021-09-30,138.19
2021-10-01,137.98
2021-10-04,137.19
2021-10-05,137.73
2021-10-06,139.57
2021-10-07,140.68
2021-10-08,140.1
2021-10-11,140.68
2021-10-12,140.48
2021-10-13,140.8
2021-10-14,142.39
2021-10-15,142.76
2021-10-18,140.7
2021-10-19,139.04
2021-10-20,139.59
2021-10-21,138.58
2021-10-22,140.07
2021-10-25,140.09
2021-10-26,142.08
2021-10-27,141.07
2021-10-28,141.91
2021-10-29,142.22
2021-11-01,141.87
2021-11-02,143.29
2021-11-03,144.27
2021-11-04,144.54
2021-11-05,145.26
2021-11-08,144.17
2021-11-09,144.61
2021-11-10,146.03
2021-11-11,145.61
2021-11-12,145.77
2021-11-15,146.61
2021-11-16,146.4
2021-11-17,146.31
2021-11-18,146.33
2021-11-19,146.03
2021-11-22,147.01
2021-11-23,148.64
2021-11-24,147.86
2021-11-26,146.68
2021-11-29,148.22
2021-11-30,143.8
2021-12-01,145.61
2021-12-02,146.47
2021-12-03,149.08
2021-12-06,151.33
2021-12-07,150.94
2021-12-08,151.61
2021-12-09,152.5
2021-12-10,154.63
2021-12-13,156.82
2021-12-14,157.4
2021-12-15,158.01
2021-12-16,160.24
2021-12-17,156.61
2021-12-20,157.01
2021-12-21,156.91
2021-12-22,158.46
2021-12-23,159.24
2021-12-27,161.1
2021-12-28,161.97
2021-12-29,163.31
2021-12-30,161.9
2021-12-31,162.7
