Date	Beer	Hlth	Fin	Rtail	Whlsl
Mar-15	0.0247	-0.022	-0.0037	-0.0272	-0.0028
Apr-15	-0.0023	0.034	0.0056	0.0405	0.003
May-15	0.0282	0.0082	0.0239	-0.0381	-0.005
Jun-15	-0.0079	-0.0049	-0.0063	-0.0525	-0.0537
Jul-15	0.0355	0.0141	-0.0021	-0.0821	0.0261
Aug-15	-0.0422	-0.0842	-0.0848	-0.0441	-0.0401
Sep-15	-0.0173	-0.0261	-0.0482	-0.1059	-0.0056
Oct-15	0.0544	0.0885	0.0783	0.059	0.0207
Nov-15	-0.0159	-0.0192	0.0326	-0.0089	-0.0345
Dec-15	0.0298	-0.0302	-0.0528	-0.0265	-0.0236
Jan-16	-0.0113	-0.0036	-0.1103	-0.0965	0.0462
Feb-16	0.0202	0.0117	-0.0192	0.0737	0.0172
Mar-16	0.0385	0.0602	0.0695	0.1774	0.0792
Apr-16	0.0124	0.006	0.0243	0.0986	-0.0078
May-16	0.0129	0.003	0.0349	-0.0849	0.0224
Jun-16	0.0747	0.0312	-0.0683	0.0256	0.0737
Jul-16	0.0022	0.0228	0.0718	0.1359	-0.0022
Aug-16	-0.0013	-0.0354	0.0531	-0.0752	-0.0392
Sep-16	-0.0308	0.0054	-0.0119	0.0244	0.0175
Oct-16	-0.0012	-0.0283	-0.0084	-0.0298	-0.0061
Nov-16	-0.0533	0.0627	0.1517	0.2136	-0.0284
Dec-16	0.0552	0.0468	0.0345	-0.0226	0.0364
Jan-17	0.0102	0.034	0.0137	0.037	0.0109
Feb-17	0.019	-0.0007	0.0379	0.0919	0.0402
Mar-17	-0.0085	0.0084	-0.0197	-0.0614	0.0032
Apr-17	0.0058	-0.0011	-0.0022	-0.005	0.0036
May-17	-0.0015	-0.0194	-0.0133	-0.046	0.0258
Jun-17	-0.0407	-0.0227	0.0637	-0.0022	-0.0189
Jul-17	0.0135	0.053	0.0321	0.0131	0.0299
Aug-17	-0.0471	-0.0256	-0.0191	0.0165	0.0221
Sep-17	0.0079	-0.0168	0.0653	0.0372	-0.0196
Oct-17	0.0024	-0.0574	0.0192	0.0223	0.031
Nov-17	0.0633	0.0372	0.0566	-0.0138	0.0241
Dec-17	-0.0016	0.0459	0.0201	0.1319	-0.0501
Jan-18	0.0028	0.0318	0.0502	0.0361	-0.0281
Feb-18	-0.0675	-0.0732	-0.0145	-0.0199	-0.0452
Mar-18	-0.0231	-0.0252	-0.0137	-0.0586	0.0321
Apr-18	-0.0351	-0.0241	-0.0152	0.0366	0.0277
May-18	-0.0086	-0.0093	0.004	0.0562	0.0021
Jun-18	0.0607	0.0623	-0.0329	-0.0514	0.0261
Jul-18	0.002	0.0268	0.0244	0.0424	0.0173
Aug-18	0.0114	0.0295	0.0004	-0.0323	0.0091
Sep-18	-0.022	0.0174	-0.034	-0.0067	-0.0055
Oct-18	0.0095	-0.005	-0.0455	-0.1161	-0.0006
Nov-18	0.0029	0.0254	0.0006	-0.03	0.0327
Dec-18	-0.1093	-0.0884	-0.0874	-0.1478	-0.0475
