,MKT,SMB,HML,UMD,RF
YYYY-00-DD 00:00:SS,0.0004,-0.0003,0.0008,-0.015,0.0034
YYYY-00-DD 00:00:SS,0.0183,0.0386,0.0105,0.0163,0.0037
YYYY-00-DD 00:00:SS,0.0109,-0.0105,0.0273,0.0097,0.0036
YYYY-00-DD 00:00:SS,-0.0314,-0.0266,0.0288,-0.0322,0.0043
YYYY-00-DD 00:00:SS,0.0005,0.0004,0.0132,0.0187,0.004
YYYY-00-DD 00:00:SS,-0.0038,-0.0359,0.0307,-0.0182,0.004
YYYY-00-DD 00:00:SS,0.0245,0.0144,-0.0156,-0.0304,0.0042
YYYY-00-DD 00:00:SS,0.0225,-0.0088,0.0037,-0.0054,0.0041
YYYY-00-DD 00:00:SS,0.0364,0.0213,0.0011,0.0017,0.0041
YYYY-00-DD 00:00:SS,0.0213,0.012,0.0049,-0.0059,0.0042
YYYY-00-DD 00:00:SS,0.0127,-0.0074,0.0312,0.0124,0.004
YYYY-00-DD 00:00:SS,0.0184,0.006,-0.0025,0.0062,0.0044
YYYY-00-DD 00:00:SS,-0.0158,0.0167,0.0021,-0.0098,0.0038
YYYY-00-DD 00:00:SS,0.0111,0.0051,-0.004,0.0293,0.0043
YYYY-00-DD 00:00:SS,0.0393,-0.0174,-0.0094,0.0029,0.0044
YYYY-00-DD 00:00:SS,0.0365,0.0068,-0.0022,0.0014,0.0041
YYYY-00-DD 00:00:SS,-0.0156,0.0118,-0.007,0.0079,0.004
YYYY-00-DD 00:00:SS,-0.0333,-0.0205,-0.0315,0.0321,0.004
YYYY-00-DD 00:00:SS,0.0134,0.0025,-0.0149,0.0052,0.0042
YYYY-00-DD 00:00:SS,0.0354,-0.019,-0.0189,0.0489,0.0032
YYYY-00-DD 00:00:SS,0.0212,0.0057,-0.0259,0.052,0.0032
YYYY-00-DD 00:00:SS,-0.0449,-0.0246,-0.0066,0.0124,0.0034
YYYY-00-DD 00:00:SS,-0.006,0.0041,-0.0032,0.0681,0.0027
YYYY-00-DD 00:00:SS,-0.0615,-0.0068,0.0388,-0.0767,0.0021
YYYY-00-DD 00:00:SS,-0.0296,-0.0014,-0.0075,0.0624,0.0013
YYYY-00-DD 00:00:SS,-0.0076,0.0096,0.0031,0.0427,0.0017
YYYY-00-DD 00:00:SS,0.0478,-0.0141,-0.0078,-0.0015,0.0018
YYYY-00-DD 00:00:SS,0.0204,0.0323,-0.0127,0.0339,0.0018
YYYY-00-DD 00:00:SS,-0.0827,0.0139,-0.026,0.1271,0.0017
YYYY-00-DD 00:00:SS,-0.0062,0.0262,0.0542,-0.0498,0.0015
YYYY-00-DD 00:00:SS,0.0166,0.0367,0.0158,-0.039,0.0013
YYYY-00-DD 00:00:SS,-0.0909,-0.0103,0.0622,0.0051,0.0015
YYYY-00-DD 00:00:SS,-0.1715,-0.0244,-0.0229,0.0787,0.0008
