Date	Adj Close
2021/1/4	128.4534454
2021/1/5	130.041626
2021/1/6	125.6642075
2021/1/7	129.9522705
2021/1/8	131.0739288
2021/1/11	128.0266266
2021/1/12	127.8479538
2021/1/13	129.9225006
2021/1/14	127.9571609
2021/1/15	126.2002258
2021/1/19	126.8851242
2021/1/20	131.0540771
2021/1/21	135.8583069
2021/1/22	138.0420532
2021/1/25	141.8635864
2021/1/26	142.1018219
2021/1/27	141.0099487
2021/1/28	136.0766754
2021/1/29	130.9846191
2021/2/1	133.1484833
2021/2/2	133.9922028
2021/2/3	132.9499817
2021/2/4	136.3744507
2021/2/5	135.9519501
2021/2/8	136.1010895
2021/2/9	135.2064056
2021/2/10	134.5900574
2021/2/11	134.331604
2021/2/12	134.5701752
2021/2/16	132.4030609
2021/2/17	130.066925
2021/2/18	128.943634
2021/2/19	129.1026764
2021/2/22	125.2555389
2021/2/23	125.1163712
2021/2/24	124.6093826
2021/2/25	120.2751389
2021/2/26	120.5435486
2021/3/1	127.0349655
2021/3/2	124.3807373
2021/3/3	121.338829
2021/3/4	119.4202271
2021/3/5	120.7025986
2021/3/8	115.672493
2021/3/9	120.3745422
2021/3/10	119.2711105
2021/3/11	121.2394104
2021/3/12	120.3148956
2021/3/15	123.2574158
2021/3/16	124.8280869
2021/3/17	124.0228653
2021/3/18	119.8178635
2021/3/19	119.281044
2021/3/22	122.6609726
2021/3/23	121.8159866
2021/3/24	119.380455
2021/3/25	119.8775024
2021/3/26	120.4938354
2021/3/29	120.6727753
2021/3/30	119.1915817
2021/3/31	121.4282913
2021/4/1	122.2732697
2021/4/5	125.1561279
2021/4/6	125.4643021
2021/4/7	127.1443176
2021/4/8	129.5897827
2021/4/9	132.2141876
2021/4/12	130.4645844
2021/4/13	133.6357269
2021/4/14	131.2499084
2021/4/15	133.705307
2021/4/16	133.3673401
2021/4/19	134.0433044
2021/4/20	132.3235321
2021/4/21	132.7112274
2021/4/22	131.1604462
2021/4/23	133.5263977
2021/4/26	133.9240417
2021/4/27	133.5959625
2021/4/28	132.7907562
2021/4/29	132.69133
2021/4/30	130.6832886
2021/5/3	131.756897
2021/5/4	127.0946121
2021/5/5	127.3431396
2021/5/6	128.9734497
2021/5/7	129.6605377
2021/5/10	126.3147125
2021/5/11	125.378685
2021/5/12	122.2519226
2021/5/13	124.4426422
2021/5/14	126.912178
2021/5/17	125.7371597
2021/5/18	124.3231506
2021/5/19	124.163826
2021/5/20	126.7727661
2021/5/21	124.9007034
2021/5/24	126.563652
2021/5/25	126.3644943
2021/5/26	126.3147125
2021/5/27	124.7513428
2021/5/28	124.0841599
2021/6/1	123.7555466
2021/6/2	124.5322647
2021/6/3	123.0186768
2021/6/4	125.3587646
2021/6/7	125.368721
2021/6/8	126.2051773
2021/6/9	126.5935211
2021/6/10	125.5778351
2021/6/11	126.8125916
