Date,High,Low,Open,Close,Volume,Adj Close
2014-01-02,556.7880249023438,552.0607299804688,555.6472778320312,554.481689453125,3656400.0,554.481689453125
2014-01-03,556.3795776367188,550.4019775390625,555.4181518554688,550.4368286132812,3345800.0,550.4368286132812
2014-01-06,557.3409423828125,551.1541137695312,554.4268798828125,556.5738525390625,3551800.0,556.5738525390625
2014-01-07,567.717041015625,558.4866333007812,560.3994750976562,567.3035888671875,5124300.0,567.3035888671875
2014-01-08,571.517822265625,564.5289916992188,570.8602905273438,568.4841918945312,4501700.0,568.4841918945312
2014-01-09,569.9735717773438,560.678466796875,569.5850830078125,563.0097045898438,4184500.0,563.0097045898438
2014-01-10,567.4132080078125,559.0296020507812,567.4132080078125,562.9797973632812,4302900.0,562.9797973632812
2014-01-13,571.3135986328125,556.4990844726562,561.1317138671875,559.3932495117188,4855800.0,559.3932495117188
2014-01-14,573.3509521484375,561.938720703125,566.8502807617188,572.553955078125,4983700.0,572.553955078125
2014-01-15,575.3434448242188,569.7593994140625,574.3422241210938,572.1654052734375,3915000.0,572.1654052734375
2014-01-16,576.802978515625,571.8565673828125,572.4044799804688,575.951171875,3380300.0,575.951171875
2014-01-17,578.14794921875,569.963623046875,576.2650146484375,573.1168212890625,5422800.0,573.1168212890625
2014-01-21,579.82666015625,573.5003662109375,578.2974243164062,579.67724609375,3974500.0,579.67724609375
2014-01-22,581.764404296875,577.2662353515625,581.1267700195312,580.3347778320312,3154500.0,580.3347778320312
2014-01-23,579.074462890625,575.0296630859375,577.8341064453125,577.8839721679688,3912700.0,577.8839721679688
2014-01-24,574.6211547851562,559.4031982421875,573.3558959960938,559.816650390625,7814000.0,559.816650390625
2014-01-27,561.1466674804688,539.1142578125,560.9474487304688,548.558837890625,8739800.0,548.558837890625
2014-01-28,560.7730712890625,552.8975830078125,553.0869140625,559.408203125,4436900.0,559.408203125
2014-01-29,558.7805786132812,547.6572265625,557.470458984375,551.3932495117188,4777500.0,551.3932495117188
2014-01-30,574.0931396484375,561.520263671875,570.3621215820312,565.5750732421875,10220800.0,565.5750732421875
2014-01-31,591.0545654296875,573.4157104492188,583.4879150390625,588.2799682617188,11174200.0,588.2799682617188
2014-02-03,588.653564453125,563.8914184570312,587.3983154296875,564.5987548828125,9172400.0,564.5987548828125
2014-02-04,575.3434448242188,566.382080078125,566.8702392578125,566.9548950195312,5644800.0,566.9548950195312
2014-02-05,573.2363891601562,561.9038696289062,569.55517578125,569.4655151367188,4806800.0,569.4655151367188
2014-02-06,577.913818359375,571.6323852539062,573.4157104492188,577.814208984375,3907600.0,577.814208984375
2014-02-07,586.750732421875,578.1130981445312,581.6348876953125,586.5215454101562,5292000.0,586.5215454101562
2014-02-10,588.9923095703125,582.3272705078125,583.7120971679688,584.2749633789062,3904800.0,584.2749633789062
2014-02-11,593.7096557617188,583.9163208007812,587.8814697265625,592.8677978515625,4116900.0,592.8677978515625
2014-02-12,592.7781372070312,588.4841918945312,592.2799682617188,591.1292724609375,3461800.0,591.1292724609375
2014-02-13,597.7096557617188,587.62744140625,588.17041015625,597.7096557617188,3686400.0,597.7096557617188
2014-02-14,599.9462280273438,594.1729125976562,595.5726318359375,599.1542358398438,4389700.0,599.1542358398438
2014-02-18,604.17041015625,597.7594604492188,598.4617919921875,603.1791381835938,4233500.0,603.1791381835938
2014-02-19,602.3522338867188,596.5140991210938,600.3995361328125,598.9251098632812,4222900.0,598.9251098632812
2014-02-20,601.1915893554688,597.8690185546875,599.3236083984375,599.8067626953125,3414300.0,599.8067626953125
2014-02-21,602.676025390625,599.1741333007812,601.6498413085938,599.6473999023438,3738500.0,599.6473999023438
2014-02-24,607.8018188476562,600.2999267578125,600.429443359375,603.9910888671875,3361100.0,603.9910888671875
2014-02-25,609.9636840820312,602.9500122070312,605.69970703125,607.7221069335938,2888100.0,607.7221069335938
2014-02-26,612.1455078125,604.61376953125,609.7146606445312,607.8067626953125,3979100.0,607.8067626953125
