Date,MA5,MA10,MA20,MACD,K,D,J,RSI6,RSI12,RSI24,BIAS5,BIAS10,BIAS20,OBV,Signal,Close
10-13,31.516,30.958,30.2175,0.348929,0.725976,0.677013,0.579088,0.666667,0.5,0.5,0.014405,0.032689,0.057996,1096921349.0,1.0,31.97
10-16,31.664,31.109,30.3475,0.362963,0.711835,0.688621,0.642192,0.5,0.416667,0.5,0.010927,0.028963,0.054782,1118494838.0,-1.0,32.01
10-17,31.868,31.214,30.4295,0.331473,0.599344,0.658862,0.777897,0.666667,0.416667,0.5,-0.011234,0.009483,0.035508,1101518365.0,1.0,31.51
10-18,32.054,31.438,30.591,0.37406,0.711957,0.67656,0.605767,0.666667,0.5,0.541667,0.019218,0.039188,0.067961,1136439933.0,1.0,32.67
10-19,32.228,31.694,30.7875,0.413858,0.778951,0.71069,0.57417,0.5,0.5,0.5,0.023334,0.040576,0.071214,1164618213.0,-1.0,32.98
10-20,32.348,31.932,30.963,0.404542,0.738405,0.719929,0.682975,0.5,0.5,0.458333,0.006863,0.01998,0.051901,1150828385.0,-1.0,32.57
10-23,32.424,32.044,31.1025,0.374967,0.647174,0.695677,0.792684,0.5,0.583333,0.5,-0.001049,0.010798,0.041395,1137346900.0,1.0,32.39
10-24,32.682,32.275,31.2785,0.369127,0.671461,0.687605,0.719893,0.666667,0.583333,0.541667,0.003611,0.016266,0.048644,1158903982.0,1.0,32.8
10-25,32.72,32.387,31.46,0.357776,0.696552,0.690587,0.678658,0.5,0.583333,0.5,0.004279,0.014605,0.044501,1173213710.0,-1.0,32.86
10-26,32.582,32.405,31.5985,0.302395,0.51058,0.630585,0.870595,0.5,0.583333,0.5,-0.008962,-0.003549,0.021884,1139197469.0,1.0,32.29
10-27,32.554,32.451,31.7045,0.262176,0.408502,0.556557,0.852667,0.666667,0.583333,0.541667,-0.003809,-0.000647,0.022883,1160896945.0,1.0,32.43
10-30,32.644,32.534,31.8215,0.250797,0.420877,0.511331,0.692237,0.666667,0.583333,0.541667,0.006004,0.009406,0.032007,1183468119.0,-1.0,32.84
10-31,32.382,32.532,31.873,0.147797,0.121517,0.381393,0.901144,0.5,0.5,0.5,-0.027546,-0.03203,-0.012016,1141587890.0,-1.0,31.49
11-01,31.956,32.338,31.888,0.019718,-0.165788,0.198999,0.928573,0.5,0.583333,0.5,-0.038365,-0.049725,-0.036315,1090549067.0,1.0,30.73
11-02,31.65,32.116,31.905,-0.072676,-0.292343,0.035218,0.690342,0.666667,0.583333,0.5,-0.02812,-0.042222,-0.035888,1112254463.0,1.0,30.76
11-03,31.342,31.948,31.94,-0.131009,-0.302692,-0.077418,0.373129,0.666667,0.583333,0.541667,-0.014422,-0.033116,-0.032874,1138330880.0,1.0,30.89
11-06,30.958,31.801,31.9225,-0.169995,-0.267195,-0.140677,0.112359,0.666667,0.666667,0.583333,-0.001227,-0.027704,-0.031404,1168029148.0,1.0,30.92
11-07,30.932,31.657,31.966,-0.168018,-0.155376,-0.145577,-0.125979,0.833333,0.75,0.625,0.013837,-0.009382,-0.018958,1223071357.0,1.0,31.36
11-08,31.06,31.508,31.9475,-0.164294,-0.047592,-0.112915,-0.243562,1.0,0.75,0.666667,0.009981,-0.00438,-0.018077,1255433710.0,1.0,31.37
11-09,31.196,31.423,31.914,-0.155498,0.049301,-0.058843,-0.275131,1.0,0.75,0.666667,0.007822,0.000541,-0.014852,1280850755.0,1.0,31.44
11-10,31.508,31.425,31.938,-0.083254,0.296433,0.059583,-0.414119,1.0,0.833333,0.708333,0.029897,0.032617,0.016031,1332367219.0,1.0,32.45
11-13,31.824,31.391,31.9625,-0.028859,0.450867,0.190011,-0.331702,1.0,0.833333,0.708333,0.021242,0.035329,0.016817,1368039870.0,1.0,32.5
11-14,32.094,31.513,32.0225,0.021736,0.545581,0.308534,-0.16556,0.833333,0.75,0.666667,0.019194,0.037984,0.021469,1399901319.0,-1.0,32.71
11-15,32.322,31.691,32.0145,0.042219,0.568114,0.395061,0.048954,0.666667,0.75,0.666667,0.005816,0.025843,0.015477,1369157367.0,-1.0,32.51
11-16,32.478,31.837,31.9765,0.035022,0.515355,0.435159,0.274767,0.666667,0.833333,0.666667,-0.007944,0.01203,0.007615,1347771321.0,1.0,32.22
11-17,32.632,32.07,32.009,0.090598,0.668605,0.512974,0.201713,0.5,0.75,0.666667,0.018019,0.035859,0.037833,1395735332.0,-1.0,33.22
11-20,32.752,32.288,32.0445,0.117944,0.742147,0.589365,0.283802,0.5,0.75,0.666667,0.010625,0.025149,0.032939,1360761113.0,1.0,33.1
11-21,32.838,32.466,32.0615,0.134686,0.717862,0.632197,0.460868,0.5,0.75,0.666667,0.009197,0.02076,0.033638,1408115188.0,1.0,33.14
11-22,33.172,32.747,32.1275,0.207202,0.80349,0.689295,0.460904,0.5,0.666667,0.666667,0.030387,0.04376,0.063886,1454818592.0,-1.0,34.18
11-23,33.194,32.836,32.1295,0.133098,0.539514,0.639368,0.839076,0.5,0.583333,0.666667,-0.026029,-0.01541,0.00624,1407656002.0,-1.0,32.33
11-24,32.93,32.781,32.103,0.047069,0.307885,0.528874,0.97085,0.333333,0.5,0.625,-0.031278,-0.026875,-0.006323,1373269736.0,-1.0,31.9
11-27,32.66,32.706,32.0485,-0.027495,0.160541,0.406096,0.897206,0.333333,0.416667,0.583333,-0.027863,-0.02923,-0.009314,1333788149.0,-1.0,31.75
11-28,32.352,32.595,32.054,-0.092062,0.050153,0.287448,0.762039,0.166667,0.333333,0.583333,-0.023244,-0.030526,-0.014164,1320475036.0,-1.0,31.6
11-29,31.72,32.446,32.0685,-0.175323,-0.086835,0.162687,0.661732,0.0,0.25,0.541667,-0.022068,-0.04395,-0.032696,1295987693.0,-1.0,31.02
11-30,31.43,32.312,32.0745,-0.241663,-0.167678,0.052566,0.493053,0.166667,0.333333,0.541667,-0.017499,-0.044318,-0.037241,1270822844.0,1.0,30.88
12-01,31.234,32.082,32.076,-0.282722,-0.186088,-0.026985,0.291219,0.333333,0.416667,0.583333,-0.010053,-0.03622,-0.036039,1285604274.0,1.0,30.92
12-04,31.08,31.87,32.079,-0.303361,-0.157957,-0.070643,0.103986,0.5,0.416667,0.625,-0.003218,-0.027926,-0.034259,1307240879.0,1.0,30.98
12-05,31.132,31.742,32.104,-0.256479,-0.012712,-0.051332,-0.128573,0.5,0.416667,0.583333,0.023384,0.003717,-0.0076,1355941018.0,-1.0,31.86
12-06,31.222,31.471,32.109,-0.243619,0.134214,0.010517,-0.236879,0.5,0.333333,0.541667,0.007943,-3.2e-05,-0.019901,1335084211.0,-1.0,31.47
12-07,31.324,31.377,32.1065,-0.235348,0.243981,0.088338,-0.222948,0.5,0.25,0.5,0.002107,0.000414,-0.022316,1320281183.0,-1.0,31.39
12-08,31.388,31.311,32.046,-0.234876,0.266668,0.147781,-0.089992,0.5,0.333333,0.5,-0.004715,-0.002268,-0.025151,1305294271.0,1.0,31.24
12-11,31.596,31.338,32.022,-0.180487,0.491613,0.262392,-0.19605,0.333333,0.333333,0.458333,0.013419,0.021763,-6.2e-05,1330523101.0,-1.0,32.02
12-12,31.502,31.317,31.956,-0.178955,0.458373,0.327719,0.066411,0.333333,0.416667,0.458333,-0.003555,0.002331,-0.017712,1315934861.0,1.0,31.39
12-13,31.55,31.386,31.916,-0.154328,0.520289,0.391909,0.135149,0.333333,0.416667,0.416667,0.005071,0.010323,-0.006454,1332478463.0,-1.0,31.71
12-14,31.494,31.409,31.8605,-0.172498,0.36609,0.383303,0.417728,0.5,0.5,0.416667,-0.012193,-0.00952,-0.023556,1308073288.0,0.0,31.11
12-15,31.468,31.428,31.755,-0.182272,0.249999,0.338868,0.516606,0.666667,0.583333,0.416667,-0.011377,-0.010118,-0.020312,1323270312.0,1.0,31.11
12-18,31.304,31.45,31.66,-0.179989,0.201007,0.292915,0.476729,0.666667,0.583333,0.458333,-0.003322,-0.007949,-0.014529,1337596429.0,1.0,31.2
12-19,31.298,31.4,31.571,-0.16462,0.227732,0.271187,0.358097,0.833333,0.583333,0.5,0.001981,-0.001274,-0.006683,1351319878.0,1.0,31.36
12-20,31.258,31.404,31.4375,-0.140865,0.286298,0.276224,0.256077,0.833333,0.583333,0.5,0.008062,0.003375,0.002306,1367313772.0,1.0,31.51
12-21,31.358,31.426,31.4015,-0.11484,0.357145,0.303198,0.195303,0.833333,0.583333,0.5,0.008036,0.005855,0.00664,1386076087.0,-1.0,31.61
12-22,31.454,31.461,31.386,-0.09543,0.396925,0.33444,0.20947,0.833333,0.666667,0.5,0.004324,0.0041,0.0065,1370635308.0,1.0,31.59
12-25,31.592,31.448,31.393,-0.060725,0.507985,0.392288,0.160896,0.666667,0.666667,0.458333,0.009433,0.014055,0.015832,1391191453.0,-1.0,31.89
12-26,31.662,31.48,31.3985,-0.046589,0.513716,0.432764,0.27086,0.5,0.583333,0.458333,0.001516,0.007306,0.009921,1373745996.0,-1.0,31.71
12-27,31.592,31.425,31.4055,-0.07101,0.314057,0.393195,0.551472,0.5,0.666667,0.5,-0.013674,-0.008433,-0.007817,1353250383.0,1.0,31.16
12-28,31.51,31.434,31.4215,-0.084561,0.187343,0.324578,0.599047,0.5,0.666667,0.541667,-0.009838,-0.007444,-0.007049,1370039833.0,1.0,31.2
12-29,31.6,31.527,31.4775,-0.038954,0.330682,0.326613,0.318473,0.0,0.0,0.0,0.013924,0.016272,0.01787,1399015223.0,0.0,32.04
