date,Total Index,Convertible Arbitrage,Dedicated Short Bias,Emerging Markets,Equity Market Neutral,Event Driven,Event Driven Distressed,Event Driven Multi-Strategy,Event Driven Risk Arbitrage,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Managed Futures,Multi-Strategy
1994-04-30,-0.0196,-0.0274,0.0106,-0.08579999999999999,0.0002999999999999999,-0.0088,-0.009300000000000001,-0.0079,-0.0118,-0.004200000000000001,-0.0181,-0.0178,0.0063999999999999994,0.0236
1994-05-31,0.0198,-0.012700000000000001,0.02,-0.0098,-0.0036,-0.004,-0.0109,0.004399999999999999,0.0,0.0054,0.0355,0.0032,0.0051,-0.037200000000000004
1994-06-30,-0.0104,-0.0002000000000000001,0.061200000000000004,0.0024000000000000002,0.0047,-0.0036,-0.0118,0.006,-0.0005,-0.0063,-0.0115,-0.0254,0.0392,0.0338
1994-07-31,0.001,-0.0011,-0.0143,0.0556,-0.0125,0.0029000000000000002,0.015499999999999998,-0.0121,0.0032,-0.0043,-0.006,0.0104,-0.0126,-0.0248
1994-08-31,0.025599999999999998,-0.0025,-0.058699999999999995,0.16210000000000002,-0.012,0.006100000000000001,0.0183,-0.0093,0.014799999999999999,-0.003,0.0254,0.014300000000000002,-0.0048000000000000004,-0.034499999999999996
1994-09-30,0.004,-0.014600000000000002,0.0131,0.0493,-0.0121,0.0048,0.008400000000000001,0.0005,0.0010999999999999998,0.0043,-0.0002000000000000001,-0.0002000000000000001,0.017599999999999998,-0.0091
1994-10-31,-0.0162,-0.0163,-0.0068000000000000005,-0.0378,-0.0064,-0.01,-0.006200000000000001,-0.015300000000000001,-0.0007000000000000001,0.0062,-0.024900000000000002,0.0,0.0091,0.0132
1994-11-30,0.0009000000000000002,-0.0049,0.0271,-0.017400000000000002,-0.006200000000000001,-0.0138,-0.027200000000000002,0.0019000000000000002,0.0029000000000000002,0.0036999999999999997,0.017699999999999997,-0.0317,0.013300000000000001,-0.0304
1994-12-31,-0.0052,-0.022299999999999997,-0.005,-0.0452,0.0096,-0.0109,-0.0094,-0.0131,-0.0005,0.0026000000000000003,0.0019000000000000002,-0.0066,-0.022,0.0158
1995-01-31,-0.0225,-0.009000000000000001,0.0103,-0.1026,0.0018999999999999998,0.0023,0.0015999999999999999,-0.00010000000000000026,0.0133,-0.00010000000000000026,-0.0275,-0.0102,-0.0036000000000000003,0.0213
1995-02-28,0.0007999999999999995,0.0081,-0.026099999999999998,-0.08249999999999999,0.0057,0.0204,0.0252,0.015899999999999997,0.0151,0.0027999999999999995,-0.003,0.0267,-0.016399999999999998,-0.0014000000000000002
1995-03-31,0.031099999999999996,0.0095,9.999999999999983e-05,-0.058800000000000005,0.025500000000000002,0.0048000000000000004,0.025500000000000002,-0.016,0.0026,-0.0081,0.0559,0.004399999999999999,0.09090000000000001,0.014899999999999998
1995-04-30,0.010700000000000001,0.019,-0.0075,0.0687,0.0189,0.0172,0.023999999999999997,0.0206,-0.0083,0.016399999999999998,0.005300000000000001,0.0098,-0.0071,0.013200000000000002
1995-05-31,0.0063999999999999994,0.0128,-0.0162,0.0097,0.0004000000000000002,0.007599999999999999,0.015899999999999997,0.0010999999999999994,0.0024000000000000002,0.016399999999999998,0.006200000000000001,0.016599999999999997,-0.0507,-0.0162
1995-06-30,-0.0007000000000000001,0.014599999999999998,-0.0735,0.0033999999999999994,0.0108,0.0086,0.0189,-0.0051,0.0163,0.0007999999999999995,-0.0112,0.030699999999999998,-0.0618,0.013599999999999998
1995-07-31,0.0234,0.0044,-0.0636,0.018000000000000002,0.0013,0.0183,0.034499999999999996,0.0029000000000000007,0.0114,0.007,0.0182,0.047299999999999995,0.0263,-0.0106
1995-08-31,0.055999999999999994,0.0037,0.004200000000000001,0.0058,0.0027999999999999995,0.0114,0.005599999999999999,0.0219,0.002,0.0037,0.102,0.0186,-0.0072,0.006
1995-09-30,-0.0007999999999999999,0.0066,-0.0339,0.0142,-0.0103,0.014100000000000001,0.0109,0.0209,0.0068000000000000005,0.0058,-0.0026,0.006500000000000001,-0.09809999999999999,0.012799999999999999
1995-10-31,-0.0055000000000000005,0.0085,0.0591,-0.061,-0.0016000000000000003,-0.007,-0.0175,0.0042,-0.0028000000000000004,0.007,0.0056,-0.022600000000000002,-0.015,-0.0126
1995-11-30,0.025999999999999995,0.0177,-0.0151,-0.0367,-0.0025000000000000005,0.005899999999999999,0.0074,0.0015999999999999999,0.011399999999999999,0.011399999999999999,0.0433,0.0175,-0.0081,0.0199
